Name,Type,open,hour,Score,Review,Link,Addr,dis(min)
샤이바나 코엑스점,양식,영업중,매일 11:00 ~ 21:30,2.2,241,,서울 강남구 영동대로 513 코엑스 지하1층 I108호,15
스타벅스 코엑스사거리점,스타벅스,영업중,월~금 07:00 ~ 19:00,4.5,8,,서울 강남구 영동대로 616,22
카페마마스 코엑스점,카페마마스,null data,null data,2.6,160,,서울 강남구 영동대로 513 코엑스몰 P105호,15
광수사,일식집,영업중,매일 12:00 ~ 22:00,4.1,5,,서울 강남구 테헤란로77길 22,3
바나프레소 삼성점,카페,영업중,월~금 07:00 ~ 21:00,3.8,5,,서울 강남구 테헤란로81길 9,3
스폰티니 삼성중앙점,피자,영업중,매일 11:00 ~ 22:00,4.0,20,,서울 강남구 삼성로 550 1층,10
터틀스커피,커피전문점,영업중,월~금 08:00 ~ 19:00,4.8,27,,서울 강남구 선릉로 608 선진빌딩 지하 1층,25
고씨떡볶이 삼성점,떡볶이,영업중,월~토 11:00 ~ 23:00,4.8,23,,서울 강남구 봉은사로84길 34,10
맥도날드 코엑스점,맥도날드,영업중,매일 07:00 ~ 21:00,2.1,23,,서울 강남구 삼성동 159-9 지하1층 A102호,12
치즈룸X멜팅샵 파르나스몰점,이탈리안,영업중,매일 10:30 ~ 22:00,4.4,89,,서울 강남구 테헤란로 521 파르나스타워 지하1층 F-1호,11
스타벅스 삼성도심공항점,스타벅스,영업중,월~금 07:00 ~ 19:00,4.0,4,,서울 강남구 테헤란로87길 33 지상 1층,8
슐미랭삼 선릉점,삼겹살,영업중,월~토 11:00 ~ 23:00,4.5,23,,서울 강남구 선릉로100길 32,11
돈꼬레,"육류,고기",영업중,매일 10:00 ~ 02:00,3.3,2,,서울 강남구 삼성로96길 13,5
트라토리아모로,이탈리안,영업중,월~토 12:00 ~ 21:30,2.6,5,,서울 강남구 봉은사로68길 21,13
스타벅스 삼성점,스타벅스,영업중,월~금 07:00 ~ 19:00,3.4,5,,서울 강남구 테헤란로 443 애플트리타워 1층,0
KFC 강남구청역점,KFC,영업중,매일 10:30 ~ 23:00,1.8,11,,서울 강남구 학동로 402 천마빌딩 1층 103호,37
육성급,"육류,고기",영업중,월~금 11:00 ~ 23:00,4.5,39,,서울 강남구 테헤란로79길 25,4
버거킹 삼성중앙역점,버거킹,영업중,매일 09:00 ~ 24:00,4.0,6,,서울 강남구 봉은사로 502,15
브라운돈까스 선릉점,"돈까스,우동",영업중,매일 11:00 ~ 22:00,2.2,16,,서울 강남구 선릉로 520,14
인터컨티넨탈서울코엑스 아시안라이브,퓨전요리,브레이크타임,월~금 06:30 ~ 22:00,3.1,12,,서울 강남구 봉은사로 524 2층,15
매일낙지,"해물,생선",null data,null data,3.0,2,,서울 강남구 삼성로 557,11
양평해장국,해장국,null data,null data,4.0,4,,서울 강남구 영동대로106길 29 1층,23
예향,한식,영업중,매일 11:00 ~ 22:00,2.8,0,,서울 강남구 테헤란로63길 20 정든빌딩 1층,10
경복궁블랙 오크우드점,경복궁,영업중,매일 11:30 ~ 22:00,4.0,12,,서울 강남구 테헤란로87길 46 오크우드프리미어호텔 1층,15
무월식탁 파르나스점,한식,영업중,매일 10:30 ~ 22:00,3.2,121,,서울 강남구 테헤란로 521 파르나스몰 지하 1층 F-16호,11
맛자랑,한식,영업중,매일 11:00 ~ 22:00,3.6,12,,서울 강남구 선릉로 524,14
우가네,국밥,null data,null data,4.6,8,,서울 강남구 선릉로96길 7 1층,13
이태리부대찌개 삼성봉은사역점,"찌개,전골",영업중,매일 11:00 ~ 22:00,3.7,4,,서울 강남구 봉은사로112길 6 1층,26
친친,중화요리,영업중,월~금 11:00 ~ 21:30,3.4,9,,서울 강남구 테헤란로63길 12,9
세광양대창 삼성점,"곱창,막창",영업중,월~금 11:00 ~ 22:30,3.5,45,,서울 강남구 테헤란로83길 29 2층,6
화수사,일식집,영업중,월~토 11:30 ~ 23:00,5.0,4,,서울 강남구 삼성로95길 10 우원빌딩 1층,3
황금복국,복어,영업중,매일 10:00 ~ 22:00,3.0,12,,서울 강남구 삼성로96길 26-6,6
배꼽집,"육류,고기",영업중,매일 11:00 ~ 22:00,4.0,26,,서울 강남구 영동대로 513,15
꼬꼬트,양식,영업중,월~토 11:30 ~ 24:00,4.4,14,,서울 강남구 봉은사로84길 32,10
삼성동커피볶는집,커피전문점,영업중,월~금 09:00 ~ 22:00,4.7,17,,서울 강남구 봉은사로68길 49,8
일상정원 코엑스점,일식,영업중,매일 11:00 ~ 22:00,3.3,50,,서울 강남구 봉은사로 524 코엑스 별관 지하2층,15
샐러디 삼성점,샐러디,영업중,월~금 08:00 ~ 21:00,3.9,13,,서울 강남구 삼성로96길 6 LG트윈텔1차 1층 101-1호,4
쉐즈알렉스,"제과,베이커리",휴무일,"월,일요일",3.7,2,,"서울 강남구 선릉로112길 5 지하1층, 지상1,2층",25
스시한판 코엑스점,"초밥,롤",영업중,매일 10:00 ~ 22:00,1.6,54,,서울 강남구 영동대로 513 코엑스몰 지하1층 L129호,15
드코닝 코엑스몰점,디저트카페,영업중,월~금 07:30 ~ 22:00,2.6,59,,서울 강남구 영동대로 513 코엑스몰 지하1층 C-103호,15
W스타일도넛 강남점,도넛,영업중,매일 09:30 ~ 21:20,4.7,88,,서울 강남구 테헤란로83길 46,9
한우옛날곱창,"곱창,막창",영업중,매일 12:00 ~ 24:00,4.7,21,,서울 강남구 삼성로103길 11,9
디퀸즈 뉴코엑스점,양식,영업중,매일 11:00 ~ 21:00,2.6,97,,서울 강남구 영동대로 513 지하1층 104호,15
호토모토 선정릉역점,도시락,영업중,매일 10:00 ~ 21:00,3.7,8,,서울 강남구 봉은사로 415,22
그랜드마오 코엑스몰점,중화요리,영업중,매일 11:30 ~ 22:00,2.7,30,,서울 강남구 영동대로 513 I101호,15
빕스마이픽,패밀리레스토랑,null data,null data,1.8,23,,서울 강남구 영동대로 513,15
카페싸이공,베트남음식,null data,null data,3.1,6,,서울 강남구 삼성로 622 1층,21
푸에르코 삼성점,"육류,고기",영업중,매일 11:30 ~ 22:30,4.5,12,,서울 강남구 테헤란로87길 35 2층,8
샤블랑157,샤브샤브,영업중,월~토 11:00 ~ 22:00,4.6,25,,서울 강남구 테헤란로83길 11 2층 201호,4
고운님,한식,영업중,매일 11:00 ~ 21:30,3.9,4,,서울 강남구 테헤란로87길 36 공항타워 B06호,12
커피빈 삼성봉은사거리점,커피빈,영업중,월~금 07:00 ~ 22:00,4.0,11,,"서울 강남구 영동대로 607 랜드마크타워 1,2층",20
커피빈 삼성로점,커피빈,영업중,월~금 07:00 ~ 22:00,4.0,0,,"서울 강남구 삼성로 551 1, 2층",10
